年度,股票代號,股票名稱,現金股利連N年遞增,連續N年發放現金股利,現金股利排名,現金股利殖利率排名
2025,4114,健喬,1.0,16.0,1119.0,831.0
2025,4128,中天,0.0,-3.0,1484.0,1484.0
2025,4142,國光生,0.0,-5.0,1484.0,1484.0
2025,4157,太景*-KY,0.0,-13.0,1484.0,1484.0
2025,4162,智擎,-1.0,12.0,687.0,708.0
2025,4167,松瑞藥,2.0,4.0,1124.0,568.0
2025,4174,浩鼎,0.0,-14.0,1484.0,1484.0
2025,4303,信立,0.0,3.0,1009.0,941.0
2025,4414,如興,1.0,1.0,1483.0,1476.0
2025,4510,高鋒,-1.0,-1.0,1484.0,1484.0
2025,4541,晟田,2.0,2.0,903.0,797.0
2025,4714,永捷,-1.0,-1.0,1484.0,1484.0
2025,4722,國精化,-1.0,27.0,976.0,1429.0
2025,4743,合一,0.0,-3.0,1484.0,1484.0
2025,4763,材料*-KY,-1.0,11.0,483.0,155.0
2025,4772,台特化,4.0,5.0,485.0,1213.0
2025,4931,新盛力,2.0,4.0,598.0,1224.0
2025,4946,辣椒,0.0,-8.0,1484.0,1484.0
2025,4958,臻鼎-KY,-1.0,15.0,451.0,1331.0
2025,4977,眾達-KY,2.0,14.0,644.0,1128.0
2025,4979,華星光,4.0,4.0,660.0,1390.0
2025,4991,環宇-KY,0.0,-6.0,1484.0,1484.0
2025,5009,榮剛,-1.0,15.0,946.0,647.0
2025,5213,亞昕,1.0,6.0,553.0,9.0
2025,5284,jpp-KY,1.0,12.0,269.0,1158.0
2025,5309,系統電,-1.0,3.0,1298.0,1347.0
2025,5314,世紀*,-2.0,3.0,1405.0,1444.0
2025,5371,中光電,-3.0,12.0,1226.0,1307.0
2025,5392,能率,0.0,20.0,1405.0,1422.0
2025,5439,高技,1.0,24.0,163.0,974.0
2025,5498,凱崴,2.0,2.0,1383.0,1423.0
2025,5534,長虹,0.0,26.0,241.0,74.0
2025,5871,中租-KY,-2.0,15.0,230.0,335.0
2025,5904,寶雅,2.0,26.0,18.0,641.0
2025,5905,南仁湖,0.0,-5.0,1484.0,1484.0
2025,6112,邁達特,1.0,26.0,816.0,632.0
2025,6125,廣運,-2.0,13.0,1226.0,1282.0
2025,6139,亞翔,5.0,26.0,22.0,884.0
2025,6148,驊宏資,-1.0,8.0,941.0,655.0
2025,6177,達麗,-1.0,5.0,485.0,104.0
2025,6186,新潤,1.0,14.0,267.0,4.0
2025,6187,萬潤,2.0,13.0,82.0,1196.0
2025,6191,精成科,-2.0,10.0,586.0,905.0
2025,6197,佳必琪,-1.0,14.0,183.0,988.0
2025,6213,聯茂,2.0,24.0,546.0,1283.0
2025,6215,和椿,-1.0,13.0,1009.0,1279.0
2025,6223,旺矽,4.0,16.0,25.0,1445.0
2025,6231,系微,-1.0,19.0,234.0,986.0
2025,6274,台燿,3.0,23.0,156.0,1295.0
2025,6282,康舒,1.0,19.0,1125.0,1139.0
2025,6290,良維,4.0,18.0,205.0,990.0
2025,6442,光聖,2.0,13.0,90.0,1327.0
2025,6443,元晶,0.0,-2.0,1484.0,1484.0
2025,6446,藥華藥,2.0,2.0,901.0,1477.0
2025,6472,保瑞,-1.0,12.0,104.0,909.0
2025,6488,環球晶,-2.0,12.0,155.0,1345.0
2025,6499,益安,0.0,-3.0,1484.0,1484.0
2025,6505,台塑化,1.0,24.0,946.0,936.0
2025,6535,順藥,0.0,-11.0,1484.0,1484.0
